WARD,ALDERMAN,ADDRESS,CITY,STATE,ZIPCODE,LOCATION,CITY HALL ADDRESS,CITY HALL CITY,CITY HALL STATE,CITY HALL ZIPCODE,CITY HALL PHONE
42,"Reilly, Brendan",,,,,,"121 North LaSalle Street, Room 200,Office 6",Chicago,IL,60602,(312) 744-3062
34,"Austin, Carrie M.",507 West 111th Street,Chicago,IL,60628,"(41.692436, -87.635452)","121 North LaSalle Street, Room 200, Office 21",Chicago,IL,60602,(312) 744-6820 / 6829
46,"Cappleman, James",4544 North Broadway,Chicago,IL,60640,"(41.964594, -87.656942)","121 North LaSalle Street, Room 200, Office 10",Chicago,IL,60602,(312) 744-6831 / 5694
3,"Dowell, Pat",5046 South State Street,Chicago,IL,60609,"(41.802977, -87.625955)","121 North LaSalle Street, Room 200, Office 3",Chicago,IL,60602,(312) 744-8734 / 6712
38,"Sposato, Nicholas",3821 North Harlem Avenue,Chicago,IL,60634,"(41.949577, -87.807131)","121 North LaSalle Street, Room 200, Office 2",Chicago,IL,60602,(312) 744-6857
37,"Mitts, Emma",4924 West Chicago Avenue,Chicago,IL,60651,"(41.895006, -87.749236)","121 North LaSalle Street, Room 300, Office 45",Chicago,IL,60602,(312) 744-3180 / 1589
6,"Sawyer, Roderick T.",700 East 79th Street,Chicago,IL,60619,"(41.75124, -87.607315)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-6868
17,"Moore, David H.",1344 West 79th Street,Chicago,IL,60636,"(41.75044, -87.657221)","121 North LaSalle Street, Room 300, Office 37",Chicago,IL,60602,(312) 744-3435
5,"Hairston, Leslie A.",2325 East 71st Street,Chicago,IL,60649,"(41.766147, -87.567641)","121 North LaSalle Street, Room 300, Office 26",Chicago,IL,60602,(312) 744-6832 / 3195
15,"Lopez, Raymond A.",6412 South Ashland Avenue,Chicago,IL,60636,"(41.777028, -87.664246)","121 North LaSalle Street, Room 300, Office 42",Chicago,IL,60602,(312) 744-4321
44,"Tunney, Thomas","3223 North Sheffield Avenue, Suite A",Chicago,IL,60657,"(41.940497, -87.654108)","121 North LaSalle Street, Room 304",Chicago,IL,60602,(312) 744-3073 / 3133
48,"Osterman, Harry",5533 North Broadway,Chicago,IL,60640,"(41.982685, -87.660001)","121 North LaSalle Street, Room 300, Office 46",Chicago,IL,60602,(312) 744-6834 / 6860
9,"Beale, Anthony",34 East 112th Place,Chicago,IL,60628,"(41.689882, -87.621591)","121 North LaSalle Street, Room 200, Office 5",Chicago,IL,60602,(312) 744-6838 / 3061
12,"Cardenas, George A.",3476 South Archer Avenue,Chicago,IL,60608,"(41.830824, -87.67714)","121 North LaSalle Street, Room 300, Office 28",Chicago,IL,60602,(312) 744-3068 / 4025
19,"O'Shea, Matthew J.",10400 South Western Avenue,Chicago,IL,60643,"(41.70449, -87.681569)","121 North LaSalle Street, Room 200, Office 15",Chicago,IL,60602,(312) 744-3072 / 5682
24,"Scott, Jr. Michael",1158 South Keeler Street,Chicago,IL,60624,"(41.866172, -87.730032)","121 North LaSalle Street, Suite 300, Office 0",Chicago,IL,60602,312-744-6839 / 6849
26,"Maldonado, Roberto",2511 West Division Street,Chicago,IL,60622,"(41.903011, -87.69)","121 North LaSalle Street, Room 300, Office 27",Chicago,IL,60602,(312) 744-9491 / 9492
18,"Curtis, Derrick G.",8359 South Pulaski Road,Chicago,IL,60652,"(41.740812, -87.72154)","121 North LaSalle Street, Room 300, Office 35",Chicago,IL,60602,(312) 744-6856
49,"Hadden, Maria E.",1447 West Morse Avenue,Chicago,IL,60626,"(42.007933, -87.667009)","121 North LaSalle Street, Room 200, Office 16",Chicago,IL,60602,(312) 744-3067
43,"Smith, Michele",2523 North Halsted Street,Chicago,IL,60614,"(41.928003, -87.648822)","121 North LaSalle Street, Room 300, Office 23",Chicago,IL,60602,(312) 744-5685 / 3071
21,"Brookins, Jr., Howard","9011 South Ashland Avenue, Unit B",Chicago,IL,60620,"(41.729853, -87.662844)","121 North LaSalle Street, Room 305",Chicago,IL,60602,(312) 744-4810 / 4811
30,"Reboyras, Ariel",3559 North Milwaukee Avenue,Chicago,IL,60641,"(41.945277, -87.733966)","121 North LaSalle Street, Room 200, Office 17",Chicago,IL,60602,(312) 744-3304 / 3305
33,"Rodriguez Sanchez, Rossana",3001 West Irving Park Road,Chicago,IL,60618,"(41.95392, -87.703301)","121 North LaSalle Street, Room 200, Office 20",Chicago,IL,60602,(312) 744-3373
20,"Taylor, Jeanette B.",5707 South Wentworth Avenue,Chicago,IL,60621,"(41.7905, -87.630388)","121 North LaSalle Street, Room 300, Office 40",Chicago,IL,60602,(312) 744-6840
4,"King, Sophia D.",435 East 35th Street,Chicago,IL,60616,"(41.831135, -87.61541)","121 North LaSalle Street, Room 300, Office 29",Chicago,IL,60602,(312) 744-2690
47,"Martin, Matthew J.",4243 North Lincoln Avenue,Chicago,IL,60618,"(41.958872, -87.682027)","121 North LaSalle Street, Room 200, Office 7",Chicago,IL,60602,(312) 744-4021 / 0446
29,"Taliaferro, Chris",6272 West North Avenue,Chicago,IL,60639,"(41.909239, -87.782838)","121 North LaSalle Street, Room 200, Office 33",Chicago,IL,60602,(312) 744-8805
39,"Nugent, Samantha",4200 West Lawrence Avenue,Chicago,IL,60630,"(41.968209, -87.733182)","121 North LaSalle Street, Room 200, Office 32",Chicago,IL,60602,(312) 744-7242
45,"Gardiner, James M.",5425 West Lawrence Avenue,Chicago,IL,60630,"(41.96774, -87.763536)","121 North LaSalle Street, Room 300, Office 44",Chicago,IL,60602,(312) 744-6841
32,"Waguespack, Scott",2657 North Clybourn Avenue,Chicago,IL,60614,"(41.929891, -87.67533)","121 North LaSalle Street, Room 302",Chicago,IL,60602,(312) 744-3380 / 6567
31,"Cardona, Jr., Felix",4606 West Diversey Avenue,Chicago,IL,60639,"(41.93162, -87.74204)","121 North LaSalle Street, Room 200, Office 19",Chicago,IL,60602,(312) 744-6102
25,"Sigcho-Lopez, Byron",1508 West 18th Street,Chicago,IL,60608,"(41.857842, -87.664257)","121 North LaSalle Street, Room 200, Office 11",Chicago,IL,60602,(312) 744-0209 / 1997
14,"Burke, Edward M.",2650 West 51st Street,Chicago,IL,60632,"(41.801073, -87.691151)","121 North LaSalle Street, Room 300, Office 25",Chicago,IL,60602,(312) 744-6580 / 6511
22,"Rodriguez, Michael D.",2500 South St. Louis Avenue,Chicago,IL,60623,"(41.845964, -87.712378)","121 North LaSalle Street, Room 300, Office 30",Chicago,IL,60602,
36,"Villegas, Gilbert","6560 West Fullerton Avenue, No. C118 - Suite A",Chicago,IL,60707,"(41.923653, -87.789977)","121 North LaSalle Street, Room 300, Office 41",Chicago,IL,60602,(312) 744-4324
1,"La Spata, Daniel",1958 North Milwaukee Avenue,Chicago,IL,60647,"(41.917215, -87.68799)","121 North LaSalle Street, Room 200, Office 13",Chicago,IL,60602,(312) 744-3063
2,"Hopkins, Brian",1400 North Ashland Avenue,Chicago,IL,60622,"(41.907081, -87.667668)","121 North LaSalle Street, Room 200, Office 8",Chicago,IL,60602,(312) 744-6836
35,"Ramirez-Rosa, Carlos","2934 North Milwaukee Avenue, Unit C",Chicago,IL,60618,"(41.934652, -87.716556)","121 North LaSalle Street, Room 200, Office 9",Chicago,IL,60602,(312) 744-6835
28,"Ervin, Jason C.","2622 West Jackson Boulevard, Suite 200A",Chicago,IL,60612,"(41.877516, -87.691743)","121 North LaSalle Street, Room 200, Office 18",Chicago,IL,60602,(312) 744-3066
23,"Tabares, Silvana",6247 South Archer Avenue,Chicago,IL,60638,"(41.793505, -87.776463)","121 North LaSalle Street, Room 200, Office 14",Chicago,IL,60602,(312) 744-6828 / 5683
50,"Silverstein, Debra L.",2949 West Devon Avenue,Chicago,IL,60659,"(41.99748, -87.703925)","121 North LaSalle Street, Room 300, Office 24",Chicago,IL,60602,(312) 744-6855 / 5680
41,"Napolitano, Anthony V.",7442 North Harlem Avenue,Chicago,IL,60631,"(42.016669, -87.806594)","121 North LaSalle Street, Room 200, Office 1",Chicago,IL,60602,(312) 744-3942
7,"Mitchell, Gregory I.",2249 East 95th Street,Chicago,IL,60617,"(41.722546, -87.568167)","121 North LaSalle Street, Room 300, ffice 37",Chicago,IL,60602,(312) 744-6833
16,"Coleman, Stephanie D.",5411 South Ashland Avenue,Chicago,IL,60609,"(41.795321, -87.664521)","121 North LaSalle Street, Room 300, Office 39",Chicago,IL,60602,(312) 744-6850
10,"Sadlowski Garza, Susan","10500 South Ewing Avenue, 1st Floor",Chicago,IL,60617,"(41.704464, -87.535294)","121 North LaSalle Street, Suite 300, Office 22",Chicago,IL,60602,(312) 744-3078
13,"Quinn, Marty",6500 South Pulaski Road,Chicago,IL,60629,"(41.774549, -87.722735)","121 North LaSalle Street, Room 300, Office 43",Chicago,IL,60602,(312) 744-3058 / 3076
11,"Lee, Nicole T.",3659 South Halsted Street,Chicago,IL,60609,"(41.827492, -87.646028)","121 North LaSalle Street,",Chicago,IL,60602,
27,"Burnett, Jr., Walter",4 North Western Avenue,Chicago,IL,60612,"(41.881257, -87.686515)","121 North LaSalle Street, Room 300, Office 38",Chicago,IL,60602,(312) 744-6124 / 6125
40,"Vasquez, Jr., Andre",5620 North Western Avenue,Chicago,IL,60659,"(41.983728, -87.689517)","121 North LaSalle Street, Room 300, Office 34",Chicago,IL,60602,(312) 744-6858
8,"Harris, Michelle A.",8539 South Cottage Grove Avenue,Chicago,IL,60619,"(41.739599, -87.604836)","121 Noth LaSalle Street, Room 200, Office 4",Chicago,IL,60602,(312) 744-3075 / 6825
